id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
total of function:banker_algorithm---feature:V_VAL_8,84.207,0.0,59.0,7553.482150999879,86.91077120242277,59.0,0.0,0.0,59.0,161.25,252.0,255.0
total of function:banker_algorithm---feature:V_VAL_9,76.454,0.0,45.0,7085.3458839999175,84.1744966364511,45.0,0.0,0.0,45.0,148.25,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_10,70.918,0.0,26.5,7158.907276000062,84.61032606012142,26.5,0.0,0.0,26.5,140.25,252.01,255.0
total of function:banker_algorithm---feature:V_VAL_11,66.401,0.0,0.0,7274.9981990001825,85.29359998851135,0.0,0.0,0.0,0.0,136.0,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_12,56.66,0.0,0.0,6307.780399999967,79.42153612213734,0.0,0.0,0.0,0.0,109.25,246.01,253.0
total of function:banker_algorithm---feature:V_VAL_13,50.484,0.0,0.0,5967.613743999914,77.25033167566282,0.0,0.0,0.0,0.0,97.0,248.01,255.0
total of function:banker_algorithm---feature:V_VAL_14,45.692,0.0,0.0,5810.733136000182,76.22816497857063,0.0,0.0,0.0,0.0,74.0,249.0,255.0
total of function:banker_algorithm---feature:V_VAL_15,37.75,0.0,0.0,5069.2015,71.19832512074986,0.0,0.0,0.0,0.0,37.25,250.0,254.0
total of function:banker_algorithm---feature:V_VAL_16,31.378,0.0,0.0,4239.547115999975,65.11180473616113,0.0,0.0,0.0,0.0,0.0,239.06999999999994,255.0
total of function:banker_algorithm---feature:V_VAL_17,26.904,0.0,0.0,3842.6467839999823,61.989086007135015,0.0,0.0,0.0,0.0,0.0,248.01,255.0
total of function:banker_algorithm---feature:V_VAL_18,18.763,0.0,0.0,2798.0248310000397,52.896359335969805,0.0,0.0,0.0,0.0,0.0,237.01999999999998,253.0
total of function:banker_algorithm---feature:V_VAL_19,12.787,0.0,0.0,2109.4516310000045,45.92876692226784,0.0,0.0,0.0,0.0,0.0,227.01999999999998,255.0
total of function:banker_algorithm---feature:V_VAL_20,4.45,0.0,0.0,732.9554999999925,27.073150906386804,0.0,0.0,0.0,0.0,0.0,192.01999999999998,253.0
total of function:banker_algorithm---feature:V_VAL_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
